doc_id,page_number,table_index,site_name,json_latitude,json_longitude,water_year,month,month_num,max_discharge,min_discharge,mean_discharge,total_runoff,discharge_unit,runoff_unit,quality_flag,notes,watersource_name,actual_latitude,actual_longitude,inferred_latitude,inferred_longitude,temporal_resolution,dates_of_recording,units_of_measurement
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,January,4,10500,430,1750,108000,second-feet,acre-feet,,Accuracy C,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,February,5,7900,1320,2360,131000,second-feet,acre-feet,,Accuracy C,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,March,6,19200,1350,5380,331000,second-feet,acre-feet,,Accuracy C. Footnote b: discharges for high-water period in March may be too large; measurement made March 21 gave results 18% smaller than rating curve.,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,April,7,5180,1210,3580,213000,second-feet,acre-feet,,"Accuracy B. Minimum printed as ',210' interpreted as 1,210 (OCR artifact).",Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,May,8,2130,980,1430,87900,second-feet,acre-feet,,Accuracy B,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,June,9,953,530,747,44400,second-feet,acre-feet,,Accuracy B,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,July,10,530,310,421,25900,second-feet,acre-feet,,Accuracy B,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,August,11,310,50,189,11600,second-feet,acre-feet,,Accuracy B,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,September,12,70,10,36.0,2140,second-feet,acre-feet,,Accuracy B,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,October,1,95,15,40,2470,second-feet,acre-feet,,Accuracy B. Mean printed as '40.' ,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,November,2,95,50,67,4020,second-feet,acre-feet,,Accuracy B. Mean printed as '67.' ,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1907,December,3,1320,35,188,11600,second-feet,acre-feet,,"Accuracy B. Total printed as '1,160' but likely OCR artifact for 11,600 given scale of other values.",Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1908,January,4,1540,411,792,48700,second-feet,acre-feet,,Accuracy A,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1908,February,5,6080,935,1950,112000,second-feet,acre-feet,,"Accuracy A. Mean printed as ',950' interpreted as 1,950 (OCR artifact).",Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1908,March,6,3710,838,1270,78100,second-feet,acre-feet,,Accuracy A,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
1136,190,2,"Cache Creek near Yolo, Cal.",,,1908,April,7,815,471,662,39400,second-feet,acre-feet,,Accuracy A,Cache Creek near Yolo,,,38.7094,-121.7533,Monthly from January to December for the years 1907 and 1908,01/01/1907-12/31/1908,"{'Gage_Height': 'Feet', 'Discharge': 'Sec.-ft (Second-feet)', 'Runoff_Per_Square_Mile': 'Per square mile', 'Depth_In_Inches_On_Drainage_Area': 'Inches on drainage area', 'Total_In_Acre_Feet': 'Acre-feet'}"
